# EPyR Tools Export - Slice 1 of Rabi2D_GdCaWO4_13dB_3057G
# Original file: Rabi2D_GdCaWO4_13dB_3057G.DSC
# Data type: 2D Complex
# Full shape: (500, 1024)
# Slice index: 0
# Frequency: 9621228000.0
#
Field_G,Intensity
1266.0,204975.02884497907
1268.0,206480.76231213403
1270.0,206578.4167646756
1272.0,207196.70924027727
1274.0,209896.9729391065
1276.0,211769.73934205048
1278.0,212018.06940447315
1280.0,209432.57744916383
1282.0,207905.3865223314
1284.0,207469.50930196946
1286.0,208451.4210361733
1288.0,210561.5273500836
1290.0,211718.7252039838
1292.0,212913.28106062333
1294.0,213808.85131350387
1296.0,213360.8612281081
1298.0,211788.7552491869
1300.0,208994.75381214716
1302.0,206592.68274796184
1304.0,204974.81806797636
1306.0,205786.57654958934
1308.0,206095.38803185287
1310.0,206875.64795548073
1312.0,207931.65933306067
1314.0,209342.37971562278
1316.0,211209.96347000301
1318.0,212343.2150764418
1320.0,210297.9373412873
1322.0,208593.16238314236
1324.0,207315.5000524563
1326.0,209847.0905611989
1328.0,211083.59323500254
1330.0,210962.59500916273
1332.0,212448.41460458114
1334.0,213837.0379330952
1336.0,213680.732168345
1338.0,211972.83798873855
1340.0,208294.63257607
1342.0,206224.71550228892
1344.0,203404.66765784897
1346.0,204397.71233553474
1348.0,206221.68418718726
1350.0,206503.2288609551
1352.0,207407.25579641617
1354.0,209194.8627308998
1356.0,211260.3928828118
1358.0,212123.01224053933
1360.0,209825.12624802592
1362.0,208785.81144560565
1364.0,206991.9339418809
1366.0,208874.41031634298
1368.0,210401.3703591305
1370.0,210691.66743134384
1372.0,212819.0811581518
1374.0,213120.63451716732
1376.0,213292.82876130647
1378.0,211285.67004177067
1380.0,208377.14783056226
1382.0,206221.99117698387
1384.0,204230.79269542094
1386.0,204862.04674609692
1388.0,206274.4939395077
1390.0,206238.87121490945
1392.0,208007.665363563
1394.0,208772.43427473848
1396.0,211582.56621234177
1398.0,211674.21878207088
1400.0,210198.6792774874
1402.0,208434.3167642987
1404.0,207357.3614632478
1406.0,209006.02534855303
1408.0,210018.08933994235
1410.0,211586.7306094595
1412.0,212452.2208991942
1414.0,213634.29213728773
1416.0,212759.51101889665
1418.0,211933.17660526867
1420.0,208292.0019899948
1422.0,206279.24282389638
1424.0,204750.83346594707
1426.0,204881.5038625986
1428.0,205757.07788068923
1430.0,206686.390633249
1432.0,207080.1445262196
1434.0,208112.8123518588
1436.0,211752.22617247736
1438.0,211803.56179488578
1440.0,209840.35627352522
1442.0,208494.5369116419
1444.0,207425.04790887717
1446.0,209572.95050650026
1448.0,210579.25902139556
1450.0,211220.6207594325
1452.0,212691.04413914564
1454.0,213841.45119690898
1456.0,213731.46870079753
1458.0,211963.30035645323
1460.0,208344.8922916038
1462.0,206069.9865967871
1464.0,204164.01095442852
1466.0,205282.7367802758
1468.0,205720.24485694157
1470.0,206646.01489745695
1472.0,207591.59650139982
1474.0,208164.5842332456
1476.0,211411.71223231696
1478.0,211233.14243034876
1480.0,209639.39590162912
1482.0,207512.1687636655
1484.0,207278.57948181717
1486.0,209432.7540476895
1488.0,210433.91810494807
1490.0,211184.2289045278
1492.0,211964.99394475494
1494.0,213288.67529477508
1496.0,213176.09701371306
1498.0,210586.32084017235
1500.0,208145.61450100265
1502.0,205712.932884639
1504.0,203719.331714003
1506.0,204519.18781620465
1508.0,205650.0129151467
1510.0,206311.2823526624
1512.0,207700.8122107374
1514.0,209379.12300895713
1516.0,212037.02517485007
1518.0,211291.99985091723
1520.0,209811.8811530939
1522.0,208089.5483439762
1524.0,207249.82537025213
1526.0,209089.50542052556
1528.0,210676.78040068867
1530.0,211806.8349817824
1532.0,212866.9177326529
1534.0,213659.55438032717
1536.0,213439.72256822302
1538.0,211714.55281345212
1540.0,208455.7712753475
1542.0,205761.57861952754
1544.0,203667.09867330067
1546.0,204755.96151516563
1548.0,206285.22335106798
1550.0,205991.83203467075
1552.0,207874.71363540107
1554.0,209207.04095703852
1556.0,211376.07079563194
1558.0,211199.1331895091
1560.0,209631.9423990533
1562.0,207267.57251678323
1564.0,207197.42544973863
1566.0,209546.02303551362
1568.0,209559.99433336506
1570.0,211359.69692682658
1572.0,212509.6378802618
